ed for 080619725.xml | Count - 102172 | Percentage - 88 | Result - Match 
Checked for 080642823.xml | Count - 102308 | Percentage - 88 | Result - Match 
Checked for 080642846.xml | Count - 102309 | Percentage - 88 | Result - Match 
Checked for 080642881.xml | Count - 102310 | Percentage - 88 | Result - Match 
Checked for 080642898.xml | Count - 102311 | Percentage - 88 | Result - Match 
Checked for 080642950.xml | Count - 102312 | Percentage - 88 | Result - Match 
Checked for 080642982.xml | Count - 102313 | Percentage - 88 | Result - Match 
Checked for 080643010.xml | Count - 102314 | Percentage - 88 | Result - Match 
Checked for 080643315.xml | Count - 102315 | Percentage - 88 | Result - Match 
Checked for 080643338.xml | Count - 102316 | Percentage - 88 | Result - Match 
Checked for 080643367.xml | Count - 102317 | Percentage - 88 | Result - Match 
Checked for 080643382.xml | Count - 102318 | Percentage - 88 | Result - Match 
Checked for 080643407.xml | Count - 102319 | Percentage - 88 | Result - Match 
Checked for 080643422.xml | Count - 102320 | Percentage - 88 | Result - Match 
Checked for 080643442.xml | Count - 102321 | Percentage - 88 | Result - Match 
Checked for 080643471.xml | Count - 102322 | Percentage - 88 | Result - Match 
Checked for 080643557.xml | Count - 102323 | Percentage - 88 | Result - Match 
Checked for 080643626.xml | Count - 102324 | Percentage - 88 | Result - Match 
Checked for 080643822.xml | Count - 102325 | Percentage - 88 | Result - Match 
Checked for 080643845.xml | Count - 102326 | Percentage - 88 | Result - Match 
Checked for 080643880.xml | Count - 102327 | Percentage - 88 | Result - Match 
Checked for 080643920.xml | Count - 102328 | Percentage - 88 | Result - Match 
Checked for 080643937.xml | Count - 102329 | Percentage - 88 | Result - Match 
Checked for 080643966.xml | Count - 102330 | Percentage - 88 | Result - Match 
Checked for 080643989.xml | Count - 102331 | Percentage - 88 | Result - Match 
Checked for 080644012.xml | Count - 102332 | Percentage - 88 | Result - Match 
Checked for 080644026.xml | Count - 102333 | Percentage - 88 | Result - Match 
Checked for 080644032.xml | Count - 102334 | Percentage - 88 | Result - Match 
Checked for 080644049.xml | Count - 102335 | Percentage - 88 | Result - Match 
Checked for 080644055.xml | Count - 102336 | Percentage - 88 | Result - Match 
Checked for 080644061.xml | Count - 102337 | Percentage - 88 | Result - Match 
Checked for 080644078.xml | Count - 102338 | Percentage - 88 | Result - Match 
Checked for 080644084.xml | Count - 102339 | Percentage - 88 | Result - Match 
Checked for 080644090.xml | Count - 102340 | Percentage - 88 | Result - Match 
Checked for 080644101.xml | Count - 102341 | Percentage - 88 | Result - Match 
Checked for 080644118.xml | Count - 102342 | Percentage - 88 | Result - Match 
Checked for 080644147.xml | Count - 102343 | Percentage - 88 | Result - Match 
Checked for 080644153.xml | Count - 102344 | Percentage - 88 | Result - Match 
Checked for 080644176.xml | Count - 102345 | Percentage - 88 | Result - Match 
Checked for 080644199.xml | Count - 102346 | Percentage - 88 | Result - Match 
Checked for 080644222.xml | Count - 102347 | Percentage - 88 | Result - Match 
Checked for 080644268.xml | Count - 102348 | Percentage - 88 | Result - Match 
Checked for 080644337.xml | Count - 102349 | Percentage - 88 | Result - Match 
Checked for 080644352.xml | Count - 102350 | Percentage - 88 | Result - Match 
Checked for 080644366.xml | Count - 102351 | Percentage - 88 | Result - Match 
Checked for 080644372.xml | Count - 102352 | Percentage - 88 | Result - Match 
Checked for 080644389.xml | Count - 102353 | Percentage - 88 | Result - Match 
Checked for 080644406.xml | Count - 102354 | Percentage - 88 | Result - Match 
Checked for 080644412.xml | Count - 102355 | Percentage - 88 | Result - Match 
Checked for 080644429.xml | Count - 102356 | Percentage - 88 | Result - Match 
Checked for 080644487.xml | Count - 102357 | Percentage - 88 | Result - Match 
Checked for 080644493.xml | Count - 102358 | Percentage - 88 | Result - Match 
Checked for 080644510.xml | Count - 102359 | Percentage - 88 | Result - Match 
Checked for 080644533.xml | Count - 102360 | Percentage - 88 | Result - Match 
Checked for 080644542.xml | Count - 102361 | Percentage - 88 | Result - Match 
Checked for 080644625.xml | Count - 102362 | Percentage - 88 | Result - Match 
Checked for 080644723.xml | Count - 102363 | Percentage - 88 | Result - Match 
Checked for 080644732.xml | Count - 102364 | Percentage - 88 | Result - Match 
Checked for 080644752.xml | Count - 102365 | Percentage - 88 | Result - Match 
Checked for 080644769.xml | Count - 102366 | Percentage - 88 | Result - Match 
Checked for 080644781.xml | Count - 102367 | Percentage - 88 | Result - Match 
Checked for 080644896.xml | Count - 102368 | Percentage - 88 | Result - Match 
Checked for 080644907.xml | Count - 102369 | Percentage - 88 | Result - Match 
Checked for 080644913.xml | Count - 102370 | Percentage - 88 | Result - Match 
Checked for 080644936.xml | Count - 102371 | Percentage - 88 | Result - Match 
Checked for 080644942.xml | Count - 102372 | Percentage - 88 | Result - Match 
Checked for 080649637.xml | Count - 102373 | Percentage - 88 | Result - Match 
Checked for 080660876.xml | Count - 102374 | Percentage - 88 | Result - Match 
Checked for 080661126.xml | Count - 102375 | Percentage - 88 | Result - Match 
Checked for 080661247.xml | Count - 102376 | Percentage - 88 | Result - Match 
Checked for 080661253.xml | Count - 102377 | Percentage - 88 | Result - Match 
Checked for 080670288.xml | Count - 102378 | Percentage - 88 | Result - Match 
Checked for 080670305.xml | Count - 102379 | Percentage - 88 | Result - Match 
Checked for 080670328.xml | Count - 102380 | Percentage - 88 | Result - Match 
Checked for 080670334.xml | Count - 102381 | Percentage - 88 | Result - Match 
Checked for 080670340.xml | Count - 102382 | Percentage - 88 | Result - Match 
Checked for 080670357.xml | Count - 102383 | Percentage - 88 | Result - Match 
Checked for 080670363.xml | Count - 102384 | Percentage - 88 | Result - Match 
Checked for 080670455.xml | Count - 102385 | Percentage - 88 | Result - Match 
Checked for 080670461.xml | Count - 102386 | Percentage - 88 | Result - Match 
Checked for 080670478.xml | Count - 102387 | Percentage - 88 | Result - Match 
Checked for 080670484.xml | Count - 102388 | Percentage - 88 | Result - Match 
Checked for 080670599.xml | Count - 102389 | Percentage - 88 | Result - Match 
Checked for 080670616.xml | Count - 102390 | Percentage - 88 | Result - Match 
Checked for 080670639.xml | Count - 102391 | Percentage - 88 | Result - Match 
Checked for 080670645.xml | Count - 102392 | Percentage - 88 | Result - Match 
Checked for 080670668.xml | Count - 102393 | Percentage - 88 | Result - Match 
Checked for 080670697.xml | Count - 102394 | Percentage - 88 | Result - Match 
Checked for 080670708.xml | Count - 102395 | Percentage - 88 | Result - Match 
Checked for 080670714.xml | Count - 102396 | Percentage - 88 | Result - Match 
Checked for 080670743.xml | Count - 102397 | Percentage - 88 | Result - Match 
Checked for 080670752.xml | Count - 102398 | Percentage - 88 | Result - Match 
Checked for 080670772.xml | Count - 102399 | Percentage - 88 | Result - Match 
Checked for 080670806.xml | Count - 102400 | Percentage - 88 | Result - Match 
Checked for 080670812.xml | Count - 102401 | Percentage - 88 | Result - Match 
Checked for 080670962.xml | Count - 102402 | Percentage - 88 | Result - Match 
Checked for 080670979.xml | Count - 102403 | Percentage - 88 | Result - Match 
Checked for 080670991.xml | Count - 102404 | Percentage - 88 | Result - Match 
Checked for 080671016.xml | Count - 102405 | Percentage - 88 | Result - Match 
Checked for 080671039.xml | Count - 102406 | Percentage - 88 | Result - Match 
Checked for 080671045.xml | Count - 102407 | Percentage - 88 | Result - Match 
Checked for 080671051.xml | Count - 102408 | Percentage - 88 | Result - Match 
Checked for 080671068.xml | Count - 102409 | Percentage - 88 | Result - Match 
Checked for 080671080.xml | Count - 102410 | Percentage - 88 | Result - Match 
Checked for 080671097.xml | Count - 102411 | Percentage - 88 | Result - Match 
Checked for 080671152.xml | Count - 102412 | Percentage - 88 | Result - Match 
Checked for 080671212.xml | Count - 102413 | Percentage - 88 | Result - Match 
Checked for 080671241.xml | Count - 102414 | Percentage - 88 | Result - Match 
Checked for 080671264.xml | Count - 102415 | Percentage - 88 | Result - Match 
Checked for 080671270.xml | Count - 102416 | Percentage - 88 | Result - Match 
Checked for 080671310.xml | Count - 102417 | Percentage - 88 | Result - Match 
Checked for 080671327.xml | Count - 102418 | Percentage - 88 | Result - Match 
Checked for 080671333.xml | Count - 102419 | Percentage - 88 | Result - Match 
Checked for 080671379.xml | Count - 102420 | Percentage - 88 | Result - Match 
Checked for 080671391.xml | Count - 102421 | Percentage - 88 | Result - Match 
Checked for 080671402.xml | Count - 102422 | Percentage - 88 | Result - Match 
Checked for 080671460.xml | Count - 102423 | Percentage - 88 | Result - Match 
Checked for 080671477.xml | Count - 102424 | Percentage - 88 | Result - Match 
Checked for 080671492.xml | Count - 102425 | Percentage - 88 | Result - Match 
Checked for 080671517.xml | Count - 102426 | Percentage - 88 | Result - Match 
Checked for 080671523.xml | Count - 102427 | Percentage - 88 | Result - Match 
Checked for 080671532.xml | Count - 102428 | Percentage - 88 | Result - Match 
Checked for 080671552.xml | Count - 102429 | Percentage - 88 | Result - Match 
Checked for 080671609.xml | Count - 102430 | Percentage - 88 | Result - Match 
Checked for 080671621.xml | Count - 102431 | Percentage - 88 | Result - Match 
Checked for 080671673.xml | Count - 102432 | Percentage - 88 | Result - Match 
Checked for 080671771.xml | Count - 102433 | Percentage - 88 | Result - Match 
Checked for 080671794.xml | Count - 102434 | Percentage - 88 | Result - Match 
Checked for 080671805.xml | Count - 102435 | Percentage - 88 | Result - Match 
Checked for 080671811.xml | Count - 102436 | Percentage - 88 | Result - Match 
Checked for 080671840.xml | Count - 102437 | Percentage - 88 | Result - Match 
Checked for 080671872.xml | Count - 102438 | Percentage - 88 | Result - Match 
Checked for 080671984.xml | Count - 102439 | Percentage - 88 | Result - Match 
Checked for 080672009.xml | Count - 102440 | Percentage - 88 | Result - Match 
Checked for 080672021.xml | Count - 102441 | Percentage - 88 | Result - Match 
Checked for 080672234.xml | Count - 102442 | Percentage - 88 | Result - Match 
Checked for 080672240.xml | Count - 102443 | Percentage - 88 | Result - Match 
Checked for 080672263.xml | Count - 102444 | Percentage - 88 | Result - Match 
Checked for 080672326.xml | Count - 102445 | Percentage - 88 | Result - Match 
Checked for 080672332.xml | Count - 102446 | Percentage - 88 | Result - Match 
Checked for 080672378.xml | Count - 102447 | Percentage - 88 | Result - Match 
Checked for 080672390.xml | Count - 102448 | Percentage - 88 | Result - Match 
Checked for 080672401.xml | Count - 102449 | Percentage - 88 | Result - Match 
Checked for 080672418.xml | Count - 102450 | Percentage - 88 | Result - Match 
Checked for 080672424.xml | Count - 102451 | Percentage - 88 | Result - Match 
Checked for 080672430.xml | Count - 102452 | Percentage - 88 | Result - Match 
Checked for 080672462.xml | Count - 102453 | Percentage - 88 | Result - Match 
Checked for 080672516.xml | Count - 102454 | Percentage - 88 | Result - Match 
Checked for 080672522.xml | Count - 102455 | Percentage - 88 | Result - Match 
Checked for 080672539.xml | Count - 102456 | Percentage - 88 | Result - Match 
Checked for 080672580.xml | Count - 102457 | Percentage - 88 | Result - Match 
Checked for 080672597.xml | Count - 102458 | Percentage - 88 | Result - Match 
Checked for 080672637.xml | Count - 102459 | Percentage - 88 | Result - Match 
Checked for 080672652.xml | Count - 102460 | Percentage - 88 | Result - Match 
Checked for 080672741.xml | Count - 102461 | Percentage - 88 | Result - Match 
Checked for 080672758.xml | Count - 102462 | Percentage - 88 | Result - Match 
Checked for 080672770.xml | Count - 102463 | Percentage - 88 | Result - Match 
Checked for 080672879.xml | Count - 102464 | Percentage - 88 | Result - Match 
Checked for 080672954.xml | Count - 102465 | Percentage - 88 | Result - Match 
Checked for 080672983.xml | Count - 102466 | Percentage - 88 | Result - Match 
Checked for 080673008.xml | Count - 102467 | Percentage - 88 | Result - Match 
Checked for 080673020.xml | Count - 102468 | Percentage - 88 | Result - Match 
Checked for 080673052.xml | Count - 102469 | Percentage - 88 | Result - Match 
Checked for 080673089.xml | Count - 102470 | Percentage - 88 | Result - Match 
Checked for 080673095.xml | Count - 102471 | Percentage - 88 | Result - Match 
Checked for 080673112.xml | Count - 102472 | Percentage - 88 | Result - Match 
Checked for 080673135.xml | Count - 102473 | Percentage - 88 | Result - Match 
Checked for 080673164.xml | Count - 102474 | Percentage - 88 | Result - Match 
Checked for 080673193.xml | Count - 102475 | Percentage - 88 | Result - Match 
Checked for 080680535.xml | Count - 102476 | Percentage - 88 | Result - Match 
Checked for 080680541.xml | Count - 102477 | Percentage - 88 | Result - Match 
Checked for 080680558.xml | Count - 102478 | Percentage - 88 | Result - Match 
Checked for 080688855.xml | Count - 102479 | Percentage - 88 | Result - Match 
Checked for 080688999.xml | Count - 102480 | Percentage - 88 | Result - Match 
Checked for 080689007.xml | Count - 102481 | Percentage - 88 | Result - Match 
Checked for 080689134.xml | Count - 102482 | Percentage - 88 | Result - Match 
Checked for 080689261.xml | Count - 102483 | Percentage - 88 | Result - Match 
Checked for 080689318.xml | Count - 102484 | Percentage - 88 | Result - Match 
Checked for 080689330.xml | Count - 102485 | Percentage - 88 | Result - Match 
Checked for 080689353.xml | Count - 102486 | Percentage - 88 | Result - Match 
Checked for 080689474.xml | Count - 102487 | Percentage - 88 | Result - Match 
Checked for 080689480.xml | Count - 102488 | Percentage - 88 | Result - Match 
Checked for 080689572.xml | Count - 102489 | Percentage - 88 | Result - Match 
Checked for 080689606.xml | Count - 102490 | Percentage - 88 | Result - Match 
Checked for 080689629.xml | Count - 102491 | Percentage - 88 | Result - Match 
Checked for 080689635.xml | Count - 102492 | Percentage - 88 | Result - Match 
Checked for 080689658.xml | Count - 102493 | Percentage - 88 | Result - Match 
Checked for 080689670.xml | Count - 102494 | Percentage - 88 | Result - Match 
Checked for 080689710.xml | Count - 102495 | Percentage - 88 | Result - Match 
Checked for 080689733.xml | Count - 102496 | Percentage - 88 | Result - Match 
Checked for 080689877.xml | Count - 102497 | Percentage - 88 | Result - Match 
Checked for 080689883.xml | Count - 102498 | Percentage - 88 | Result - Match 
Checked for 080689892.xml | Count - 102499 | Percentage - 88 | Result - Match 
Checked for 080689900.xml | Count - 102500 | Percentage - 88 | Result - Match 
Checked for 080689917.xml | Count - 102501 | Percentage - 88 | Result - Match 
Checked for 080689923.xml | Count - 102502 | Percentage - 88 | Result - Match 
Checked for 080689969.xml | Count - 102503 | Percentage - 88 | Result - Match 
Checked for 080689975.xml | Count - 102504 | Percentage - 88 | Result - Match 
Checked for 080690002.xml | Count - 102505 | Percentage - 88 | Result - Match 
Checked for 080690039.xml | Count - 102506 | Percentage - 88 | Result - Match 
Checked for 080690051.xml | Count - 102507 | Percentage - 88 | Result - Match 
Checked for 080690074.xml | Count - 102508 | Percentage - 88 | Result - Match 
Checked for 080690080.xml | Count - 102509 | Percentage - 88 | Result - Match 
Checked for 080690114.xml | Count - 102510 | Percentage - 88 | Result - Match 
Checked for 080690137.xml | Count - 102511 | Percentage - 88 | Result - Match 
Checked for 080690189.xml | Count - 102512 | Percentage - 88 | Result - Match 
Checked for 080690212.xml | Count - 102513 | Percentage - 88 | Result - Match 
Checked for 080690235.xml | Count - 102514 | Percentage - 88 | Result - Match 
Checked for 080690241.xml | Count - 102515 | Percentage - 88 | Result - Match 
Checked for 080690477.xml | Count - 102516 | Percentage - 88 | Result - Match 
Checked for 080690517.xml | Count - 102517 | Percentage - 88 | Result - Match 
Checked for 080690523.xml | Count - 102518 | Percentage - 88 | Result - Match 
Checked for 080690569.xml | Count - 102519 | Percentage - 88 | Result - Match 
Checked for 080690713.xml | Count - 102520 | Percentage - 88 | Result - Match 
Checked for 080690990.xml | Count - 102521 | Percentage - 88 | Result - Match 
Checked for 080691082.xml | Count - 102522 | Percentage - 88 | Result - Match 
Checked for 080691257.xml | Count - 102523 | Percentage - 88 | Result - Match 
Checked for 080691286.xml | Count - 102524 | Percentage - 88 | Result - Match 
Checked for 080691332.xml | Count - 102525 | Percentage - 88 | Result - Match 
Checked for 080691349.xml | Count - 102526 | Percentage - 88 | Result - Match 
Checked for 080691361.xml | Count - 102527 | Percentage - 88 | Result - Match 
Checked for 080691384.xml | Count - 102528 | Percentage - 88 | Result - Match 
Checked for 080691424.xml | Count - 102529 | Percentage - 88 | Result - Match 
Checked for 080691499.xml | Count - 102530 | Percentage - 88 | Result - Match 
Checked for 080691522.xml | Count - 102531 | Percentage - 88 | Result - Match 
Checked for 080691580.xml | Count - 102532 | Percentage - 88 | Result - Match 
Checked for 080691608.xml | Count - 102533 | Percentage - 88 | Result - Match 
Checked for 080691620.xml | Count - 102534 | Percentage - 88 | Result - Match 
Checked for 080691652.xml | Count - 102535 | Percentage - 88 | Result - Match 
Checked for 080691666.xml | Count - 102536 | Percentage - 88 | Result - Match 
Checked for 080691672.xml | Count - 102537 | Percentage - 88 | Result - Match 
Checked for 080691706.xml | Count - 102538 | Percentage - 88 | Result - Match 
Checked for 080691735.xml | Count - 102539 | Percentage - 88 | Result - Match 
Checked for 080691758.xml | Count - 102540 | Percentage - 88 | Result - Match 
Checked for 080691764.xml | Count - 102541 | Percentage - 88 | Result - Match 
Checked for 080691770.xml | Count - 102542 | Percentage - 88 | Result - Match 
Checked for 080691787.xml | Count - 102543 | Percentage - 88 | Result - Match 
Checked for 080691793.xml | Count - 102544 | Percentage - 88 | Result - Match 
Checked for 080691810.xml | Count - 102545 | Percentage - 88 | Result - Match 
Checked for 080691827.xml | Count - 102546 | Percentage - 88 | Result - Match 
Checked for 080691862.xml | Count - 102547 | Percentage - 88 | Result - Match 
Checked for 080691948.xml | Count - 102548 | Percentage - 88 | Result - Match 
Checked for 080691983.xml | Count - 102549 | Percentage - 88 | Result - Match 
Checked for 080691992.xml | Count - 102550 | Percentage - 88 | Result - Match 
Checked for 080692014.xml | Count - 102551 | Percentage - 88 | Result - Match 
Checked for 080692037.xml | Count - 102552 | Percentage - 88 | Result - Match 
Checked for 080692066.xml | Count - 102553 | Percentage - 88 | Result - Match 
Checked for 080692089.xml | Count - 102554 | Percentage - 88 | Result - Match 
Checked for 080692106.xml | Count - 102555 | Percentage - 88 | Result - Match 
Checked for 080692112.xml | Count - 102556 | Percentage - 88 | Result - Match 
Checked for 080692135.xml | Count - 102557 | Percentage - 88 | Result - Match 
Checked for 080692187.xml | Count - 102558 | Percentage - 88 | Result - Match 
Checked for 080692642.xml | Count - 102559 | Percentage - 88 | Result - Match 
Checked for 080694571.xml | Count - 102560 | Percentage - 88 | Result - Match 
Checked for 080694882.xml | Count - 102561 | Percentage - 88 | Result - Match 
Checked for 080694899.xml | Count - 102562 | Percentage - 88 | Result - Match 
Checked for 080694968.xml | Count - 102563 | Percentage - 88 | Result - Match 
Checked for 080695011.xml | Count - 102564 | Percentage - 88 | Result - Match 
Checked for 080695028.xml | Count - 102565 | Percentage - 88 | Result - Match 
Checked for 080695034.xml | Count - 102566 | Percentage - 88 | Result - Match 
Checked for 080695040.xml | Count - 102567 | Percentage - 88 | Result - Match 
Checked for 080695057.xml | Count - 102568 | Percentage - 88 | Result - Match 
Checked for 080695063.xml | Count - 102569 | Percentage - 88 | Result - Match 
Checked for 080695072.xml | Count - 102570 | Percentage - 88 | Result - Match 
Checked for 080695086.xml | Count - 102571 | Percentage - 88 | Result - Match 
Checked for 080695092.xml | Count - 102572 | Percentage - 88 | Result - Match 
Checked for 080695103.xml | Count - 102573 | Percentage - 88 | Result - Match 
Checked for 080695112.xml | Count - 102574 | Percentage - 88 | Result - Match 
Checked for 080695126.xml | Count - 102575 | Percentage - 88 | Result - Match 
Checked for 080695132.xml | Count - 102576 | Percentage - 88 | Result - Match 
Checked for 080695149.xml | Count - 102577 | Percentage - 88 | Result - Match 
Checked for 080695155.xml | Count - 102578 | Percentage - 88 | Result - Match 
Checked for 080695161.xml | Count - 102579 | Percentage - 88 | Result - Match 
Checked for 080695178.xml | Count - 102580 | Percentage - 88 | Result - Match 
Checked for 080695184.xml | Count - 102581 | Percentage - 88 | Result - Match 
Checked for 080695190.xml | Count - 102582 | Percentage - 88 | Result - Match 
Checked for 080695201.xml | Count - 102583 | Percentage - 88 | Result - Match 
Checked for 080695224.xml | Count - 102584 | Percentage - 88 | Result - Match 
Checked for 080695230.xml | Count - 102585 | Percentage - 88 | Result - Match 
Checked for 080695247.xml | Count - 102586 | Percentage - 88 | Result - Match 
Checked for 080695253.xml | Count - 102587 | Percentage - 88 | Result - Match 
Checked for 080695282.xml | Count - 102588 | Percentage - 88 | Result - Match 
Checked for 080695299.xml | Count - 102589 | Percentage - 88 | Result - Match 
Checked for 080695302.xml | Count - 102590 | Percentage - 88 | Result - Match 
Checked for 080695322.xml | Count - 102591 | Percentage - 88 | Result - Match 
Checked for 080695339.xml | Count - 102592 | Percentage - 88 | Result - Match 
Checked for 080695345.xml | Count - 102593 | Percentage - 88 | Result - Match 
Checked for 080695368.xml | Count - 102594 | Percentage - 88 | Result - Match 
Checked for 080695374.xml | Count - 102595 | Percentage - 88 | Result - Match 
Checked for 080695642.xml | Count - 102596 | Percentage - 88 | Result - Match 
Checked for 080695662.xml | Count - 102597 | Percentage - 88 | Result - Match 
Checked for 080695748.xml | Count - 102598 | Percentage - 88 | Result - Match 
Checked for 080695754.xml | Count - 102599 | Percentage - 88 | Result - Match 
Checked for 080695783.xml | Count - 102600 | Percentage - 88 | Result - Match 
Checked for 080695817.xml | Count - 102601 | Percentage - 88 | Result - Match 
Checked for 080695832.xml | Count - 102602 | Percentage - 88 | Result - Match 
Checked for 080695846.xml | Count - 102603 | Percentage - 88 | Result - Match 
Checked for 080695852.xml | Count - 102604 | Percentage - 88 | Result - Match 
Checked for 080695869.xml | Count - 102605 | Percentage - 88 | Result - Match 
Checked for 080695875.xml | Count - 102606 | Percentage - 88 | Result - Match 
Checked for 080695898.xml | Count - 102607 | Percentage - 88 | Result - Match 
Checked for 080695915.xml | Count - 102608 | Percentage - 88 | Result - Match 
Checked for 080695921.xml | Count - 102609 | Percentage - 88 | Result - Match 
Checked for 080695944.xml | Count - 102610 | Percentage - 88 | Result - Match 
Checked for 080695950.xml | Count - 102611 | Percentage - 88 | Result - Match 
Checked for 080696062.xml | Count - 102612 | Percentage - 88 | Result - Match 
Checked for 080696125.xml | Count - 102613 | Percentage - 88 | Result - Match 
Checked for 080696160.xml | Count - 102614 | Percentage - 88 | Result - Match 
Checked for 080696183.xml | Count - 102615 | Percentage - 88 | Result - Match 
Checked for 080696200.xml | Count - 102616 | Percentage - 88 | Result - Match 
Checked for 080696223.xml | Count - 102617 | Percentage - 88 | Result - Match 
Checked for 080696246.xml | Count - 102618 | Percentage - 88 | Result - Match 
Checked for 080696252.xml | Count - 102619 | Percentage - 88 | Result - Match 
Checked for 080696281.xml | Count - 102620 | Percentage - 88 | Result - Match 
Checked for 080696298.xml | Count - 102621 | Percentage - 88 | Result - Match 
Checked for 080696309.xml | Count - 102622 | Percentage - 88 | Result - Match 
Checked for 080696315.xml | Count - 102623 | Percentage - 88 | Result - Match 
Checked for 080696338.xml | Count - 102624 | Percentage - 88 | Result - Match 
Checked for 080696350.xml | Count - 102625 | Percentage - 88 | Result - Match 
Checked for 080696367.xml | Count - 102626 | Percentage - 88 | Result - Match 
Checked for 080696373.xml | Count - 102627 | Percentage - 88 | Result - Match 
Checked for 080696382.xml | Count - 102628 | Percentage - 88 | Result - Match 
Checked for 080696396.xml | Count - 102629 | Percentage - 88 | Result - Match 
Checked for 080696465.xml | Count - 102630 | Percentage - 88 | Result - Match 
Checked for 080696488.xml | Count - 102631 | Percentage - 88 | Result - Match 
Checked for 080696494.xml | Count - 102632 | Percentage - 88 | Result - Match 
Checked for 080696534.xml | Count - 102633 | Percentage - 88 | Result - Match 
Checked for 080696557.xml | Count - 102634 | Percentage - 88 | Result - Match 
Checked for 080696572.xml | Count - 102635 | Percentage - 88 | Result - Match 
Checked for 080696586.xml | Count - 102636 | Percentage - 88 | Result - Match 
Checked for 080696626.xml | Count - 102637 | Percentage - 88 | Result - Match 
Checked for 080696632.xml | Count - 102638 | Percentage - 88 | Result - Match 
Checked for 080696655.xml | Count - 102639 | Percentage - 88 | Result - Match 
Checked for 080696661.xml | Count - 102640 | Percentage - 88 | Result - Match 
Checked for 080696678.xml | Count - 102641 | Percentage - 88 | Result - Match 
Checked for 080696690.xml | Count - 102642 | Percentage - 88 | Result - Match 
Checked for 080696701.xml | Count - 102643 | Percentage - 88 | Result - Match 
Checked for 080696724.xml | Count - 102644 | Percentage - 88 | Result - Match 
